match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406102811,6234334476,True,1698598233,2134,,,0,4,41,6,184,"[46, 86, 2, 33, 6]","[18, 26, 62, 76, 69]",3,4,1,1,2,0,1,2,1,3,4,2,1,3,0,5,0,1
7406102410,6234327136,False,1698598207,1771,3375.0,1.0,7,22,41,3,274,"[71, 26, 51, 10, 40]","[120, 44, 50, 96, 20]",2,5,3,2,4,0,4,1,2,2,4,2,4,3,0,4,0,2
7406102315,6234329902,False,1698598178,1891,4314.0,2.0,7,22,54,2,183,"[67, 71, 36, 9, 84]","[14, 7, 12, 79, 76]",4,4,4,3,2,0,3,0,2,2,4,1,1,3,0,5,1,2
7406101912,6234330434,True,1698598193,1779,3639.0,3.0,7,22,44,7,153,"[75, 74, 81, 46, 45]","[86, 28, 35, 84, 48]",4,3,1,2,2,0,3,3,1,3,3,2,1,2,0,4,1,2
7406101906,6234333095,True,1698598192,2072,3231.0,2.0,7,22,65,6,272,"[67, 30, 104, 22, 68]","[96, 1, 75, 83, 74]",3,3,2,1,1,0,4,0,2,3,4,2,4,3,0,4,1,2
7406101817,6234332079,True,1698598182,1952,,,7,22,64,5,381,"[81, 29, 87, 53, 84]","[40, 101, 126, 18, 88]",3,4,3,1,4,0,4,2,2,2,5,1,2,3,0,5,1,2
7406101711,6234327496,False,1698598194,1853,,,0,4,54,6,274,"[67, 14, 100, 105, 5]","[107, 54, 88, 104, 77]",1,4,2,1,2,0,4,0,1,3,4,4,4,3,0,3,1,0
7406101708,6234325079,True,1698598193,1676,,,7,22,42,3,272,"[128, 75, 54, 81, 68]","[44, 84, 46, 60, 58]",3,5,2,2,2,0,3,1,3,3,3,3,2,2,0,2,1,2
7406101615,6234330932,True,1698598183,1898,3237.0,2.0,7,22,54,5,381,"[54, 64, 71, 121, 27]","[7, 43, 10, 15, 91]",2,5,2,3,2,0,3,2,3,3,3,2,2,1,0,5,2,2
7406101510,6234328649,True,1698598183,1886,4093.0,1.0,7,22,54,7,185,"[107, 91, 103, 74, 137]","[25, 138, 67, 26, 42]",1,4,3,3,3,0,4,1,1,4,4,2,1,2,0,3,0,3
7406101508,6234318905,True,1698598189,1494,3228.0,1.0,7,3,44,5,236,"[37, 25, 80, 53, 138]","[101, 17, 99, 97, 7]",4,3,1,1,1,0,3,2,2,2,4,1,2,4,0,5,0,2
7406101305,6234331852,True,1698598174,2017,2879.0,3.0,7,22,43,6,181,"[101, 67, 34, 104, 29]","[66, 54, 63, 51, 84]",4,3,3,1,2,0,4,1,1,2,3,3,2,2,0,2,1,2
7406101200,6234327969,False,1698598172,1766,3413.0,3.0,7,3,64,7,227,"[39, 45, 49, 93, 110]","[97, 44, 87, 76, 105]",3,3,1,3,2,0,5,2,1,2,4,0,2,2,0,4,0,1
7406100809,6234329970,True,1698598163,1905,2331.0,2.0,7,22,51,5,182,"[2, 35, 73, 30, 56]","[74, 108, 22, 68, 81]",4,3,2,1,2,0,3,1,2,3,4,2,2,1,0,4,2,2
7406100805,6234331605,False,1698598162,2028,3165.0,1.0,7,22,51,6,152,"[135, 27, 84, 63, 48]","[53, 71, 10, 62, 40]",3,2,2,1,2,0,3,2,2,3,3,2,4,2,0,4,2,1
7406100713,6234333972,True,1698598159,2155,,,7,22,43,8,185,"[23, 30, 128, 99, 10]","[121, 119, 48, 103, 71]",3,4,3,2,2,0,5,0,3,2,4,2,3,2,0,4,1,2
7406100709,6234322974,True,1698598157,1659,3441.0,2.0,7,22,44,3,154,"[76, 83, 81, 138, 42]","[71, 108, 93, 121, 29]",4,5,3,1,3,0,2,1,2,3,5,3,4,2,0,4,0,2
7406100517,6234333888,True,1698598152,2156,3353.0,2.0,0,22,41,3,227,"[8, 73, 23, 96, 25]","[22, 27, 18, 75, 135]",4,4,3,2,3,0,4,1,3,4,3,2,0,3,0,4,1,2
7406100513,6234319284,True,1698598147,1516,4509.0,5.0,7,22,63,7,271,"[60, 30, 80, 53, 45]","[97, 7, 84, 63, 85]",3,2,2,1,1,0,4,3,1,1,4,2,2,3,0,4,0,3
7406100311,6234334645,True,1698598142,2210,,,0,4,52,7,152,"[104, 28, 1, 39, 107]","[40, 129, 33, 74, 46]",4,3,3,4,3,0,4,0,0,3,4,1,2,3,0,2,3,1
7406100204,6234333962,False,1698598139,2074,2210.0,2.0,7,22,55,7,182,"[17, 42, 54, 9, 110]","[20, 93, 25, 99, 31]",4,5,2,4,3,0,3,0,3,3,3,1,2,2,0,5,0,3
7406099919,6234334124,True,1698598098,2155,4466.0,1.0,7,22,62,4,184,"[45, 35, 111, 29, 8]","[7, 110, 63, 28, 87]",3,2,1,2,1,0,4,2,1,2,4,1,3,4,0,3,0,3
7406099900,6234320196,True,1698598128,1468,3977.0,3.0,7,22,54,5,182,"[5, 14, 101, 41, 10]","[31, 85, 36, 8, 74]",2,5,3,2,2,0,4,0,2,3,3,2,2,0,0,4,2,2
7406099806,6234325864,True,1698598127,1824,3294.0,1.0,7,22,62,3,241,"[71, 30, 59, 46, 14]","[62, 106, 48, 26, 41]",3,3,3,2,3,0,2,0,1,3,3,1,3,3,0,4,1,1
